iterations,restarts,score
40000,45,378.328
50000,15,373.608
10000,40,425.598
40000,50,369.038
30000,35,377.358
10000,1,790.828
30000,20,386.218
30000,30,378.728
10000,5,406.658
30000,25,395.988
40000,40,402.588
50000,10,340.718
10000,45,407.338
10000,50,393.528
20000,10,391.108
30000,40,365.558
40000,25,375.758
10000,20,431.738
10000,35,388.888
40000,30,422.628
40000,20,402.208
10000,25,393.868
10000,30,423.778
40000,35,389.418
30000,50,393.318
20000,15,389.538
30000,45,387.588
20000,30,376.028
20000,25,400.458
50000,5,355.538
40000,10,402.028
50000,40,393.758
10000,15,409.948
30000,1,1089.888
40000,15,399.908
50000,45,371.688
30000,5,331.408
10000,10,419.158
50000,50,392.958
50000,1,450.588
20000,35,376.418
20000,20,428.688
50000,20,357.108
50000,35,347.388
40000,5,422.498
20000,50,402.208
20000,45,406.378
20000,1,358.858
30000,15,446.488
20000,5,541.478
20000,40,409.928
30000,10,346.138
50000,25,356.758
40000,1,404.328
50000,30,404.958
