data type,feature vector,#bool_gen,#weights,target,start dist,end dist,start score,end score,time
sized_list,min_len,2,4,"5.000","1.039","0.024",-3.961,-4.976,5.527
sized_list,nil,2,4,"0.100","0.503","0.100",0.403,0.000,8.239
sized_list,min_nil,2,4,"0.100","0.476","0.042",0.376,-0.058,6.297
sized_list,uni_len,2,4,"10.000","(503.000, 259.000, 124.000, 53.000, 29.000, 15.000, 7.000, 3.000, 3.000, 2.000, 2.000)","(93.000, 90.000, 93.000, 92.000, 96.000, 94.000, 93.000, 86.000, 90.000, 83.000, 90.000)",2474.485,-9.195,8.888
sized_list,len,2,4,"5.000","1.045","5.005",3.955,0.005,5.754
depth_bst,min_height,2,4,"3.000","1.577","0.011",-1.423,-2.989,20.221
depth_bst,min_height,2,4,"3.000","1.577","0.011",-1.423,-2.989,20.221
depth_bst,stick,2,4,"0.500","0.349","0.409",0.151,0.091,17.795
depth_bst,stick,2,4,"0.800","0.343","0.407",0.457,0.393,22.231
depth_bst,h_bal,2,4,"2.000","0.781","1.558",1.219,0.442,19.883
depth_bst,h_bal,2,4,"2.000","0.781","1.558",1.219,0.442,19.883
depth_bst,min_stick,2,4,"0.100","0.331","0.051",0.231,-0.049,21.383
depth_bst,stick,2,4,"0.100","0.345","0.100",0.245,0.000,24.291
depth_bst,uni_height,2,4,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000)","(506.000, 153.000, 71.000, 56.000, 48.000, 166.000)","(352.000, 139.000, 76.000, 66.000, 110.000, 257.000)",890.825,374.969,19.359
depth_tree,h_bal,2,4,"1.500","0.913","1.499",0.587,0.001,23.845
depth_tree,min_height,2,4,"3.000","1.601","0.011",-1.399,-2.989,20.700
depth_tree,h_bal,2,4,"0.300","0.845","0.300",0.545,0.000,22.585
depth_tree,height,2,4,"3.000","1.574","3.000",1.426,0.000,29.475
depth_tree,stick,2,4,"0.500","0.302","0.393",0.198,0.107,22.481
depth_tree,stick,2,4,"0.800","0.357","0.374",0.443,0.426,21.884
depth_tree,h_bal,2,4,"2.000","0.809","1.504",1.191,0.496,13.184
depth_tree,uni_height,2,4,"5.000","(482.000, 127.000, 72.000, 43.000, 28.000, 248.000)","(349.000, 126.000, 65.000, 84.000, 77.000, 299.000)",776.278,408.848,15.835
depth_tree,min_stick,2,4,"0.100","0.344","0.074",0.244,-0.026,16.326
depth_tree,stick,2,4,"0.100","0.317","0.100",0.217,0.000,27.481
depth_tree,uni_height,2,4,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000)","(525.000, 111.000, 80.000, 44.000, 29.000, 211.000)","(352.000, 101.000, 88.000, 96.000, 99.000, 264.000)",1035.797,369.305,16.393
even_list,uni_len,2,4,"11.000","(0.000, 520.000, 276.000, 101.000, 49.000, 30.000, 13.000, 6.000, 1.000, 3.000, 0.000, 1.000)","(0.000, 101.000, 89.000, 94.000, 91.000, 98.000, 89.000, 93.000, 80.000, 82.000, 89.000, 94.000)",3033.117,74.117,13.326
even_list,min_len,2,4,"5.000","2.042","1.015",-2.958,-3.985,6.583
even_list,nil,2,4,"0.100","0.000","0.000",0.100,0.100,8.427
even_list,min_nil,2,4,"0.100","0.000","0.000",-0.100,-0.100,7.259
even_list,uni_len,2,4,"(1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000, 11.000)","(473.000, 257.000, 150.000, 62.000, 24.000, 22.000, 5.000, 3.000, 3.000, 0.000, 1.000)","(88.000, 97.000, 87.000, 92.000, 88.000, 96.000, 90.000, 88.000, 92.000, 89.000, 93.000)",2468.460,-19.762,10.140
even_list,len,2,4,"5.000","1.981","5.048",3.019,0.048,6.866
rb_tree,black,4,8,"0.200","0.533","0.368",0.333,0.168,34.807
rb_tree,min_black,4,8,"0.200","0.529","0.366",0.329,0.166,32.797
rb_tree,black,4,8,"0.400","0.529","0.400",0.129,0.000,40.080
rb_tree,uni_height,4,8,"(2.000, 3.000, 4.000)","(21.000, 287.000, 692.000)","(297.000, 423.000, 280.000)",675.534,27.126,30.227
rb_tree,uni_height,4,8,"5.000","(0.000, 0.000, 21.000, 287.000, 692.000, 0.000)","(0.000, 0.000, 270.000, 437.000, 293.000, 0.000)",1995.778,935.998,33.722
rb_tree,black,4,8,"0.600","0.528","0.600",0.072,0.000,32.183
rb_tree,black,4,8,"0.333","0.530","0.371",0.197,0.038,37.842
sized_list_1_const,min_len,1,2,"5.000","0.978","0.003",-4.022,-4.997,5.687
sized_list_1_const,nil,1,2,"0.100","0.503","0.100",0.403,0.000,5.634
sized_list_1_const,min_nil,1,2,"0.100","0.473","0.036",0.373,-0.064,5.018
sized_list_1_const,uni_len,1,2,"10.000","(500.000, 246.000, 122.000, 73.000, 25.000, 22.000, 11.000, 0.000, 1.000, 0.000, 0.000)","(95.000, 97.000, 101.000, 93.000, 100.000, 97.000, 68.000, 87.000, 77.000, 80.000, 105.000)",2399.925,2.725,9.567
sized_list_1_const,len,1,2,"5.000","0.988","4.998",4.012,0.002,5.241
